id_anonymisé;sexe;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;formule; âge;enfants;enfants_conduite_accompagne;revenus ;tranche-devis
ID_27;F;Private;Sports Car;no;0;1.0;z_Highly Rural/ Rural;22/03/2022 13:32;dev_integral;26;non;non;[40k€+]; [200-300€]
ID_28;F;Private;z_SUV;no;5;0;Highly Urban/ Urban;22/04/2022 03:39;dev_integral;46;non;non;[40k€+]; [200-300€]
ID_29;F;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;23/03/2022 22:44;dev_vip;56;non;non;[40k€+]; [500-800€]
ID_30;F;Private;z_SUV;no;0;17.0;Highly Urban/ Urban;12/02/2022 20:23;dev_premium;18;non;non;[40k€+]; [900+€]
ID_31;F;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;14/01/2022 07:11;dev_express;50;oui;non;[20k€, 40k€]; [200-300€]
ID_32;M;Commercial;Minivan;yes;6;5.0;z_Highly Rural/ Rural;09/04/2022 11:49;dev_integral;40;oui;non;[20k€, 40k€]; [900+€]
ID_33;F;Private;z_SUV;no;3;9.0;Highly Urban/ Urban;23/03/2022 06:12;dev_express;68;non;non;[40k€+]; [200-300€]
ID_34;M;Private;z_SUV;no;2;6.0;z_Highly Rural/ Rural;04/02/2022 17:14;dev_premium;7;non;non;[20k€, 40k€]; [900+€]
ID_35;M;Private;Sports Car;no;0;12.0;Highly Urban/ Urban;05/02/2022 18:50;dev_express;47;oui;oui;[40k€+]; [200-300€]
ID_36;F;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/02/2022 09:59;dev_integral;70;non;non;[20k€, 40k€]; [900+€]
ID_37;F;Commercial;Sports Car;no;0;15.0;Highly Urban/ Urban;06/02/2022 22:30;dev_express;63;non;non;[20k€, 40k€]; [200-300€]
ID_38;F;Private;z_SUV;no;2;14.0;Highly Urban/ Urban;09/02/2022 14:28;dev_integral;9;oui;non;[40k€+]; [200-300€]
ID_39;F;Private;Minivan;no;0;15.0;Highly Urban/ Urban;26/05/2022 21:39;dev_integral;58;non;non;[40k€+]; [200-300€]
ID_40;M;Private;z_SUV;no;1;11.0;z_Highly Rural/ Rural;04/03/2022 15:36;dev_premium;37;non;non;[40k€+]; [900+€]
ID_41;F;Private;Sports Car;no;0;10.0;Highly Urban/ Urban;31/05/2022 13:11;dev_express;21;oui;oui;[0, 20k€]; [200-300€]
ID_42;F;Private;z_SUV;no;5;8.0;Highly Urban/ Urban;30/04/2022 23:20;dev_express;88;oui;non;[0, 20k€]; [200-300€]
ID_43;M;Commercial;Pickup;yes;0;10.0;Highly Urban/ Urban;20/03/2022 04:00;dev_express;61;oui;non;[0, 20k€]; [200-300€]
ID_44;F;Private;Pickup;yes;0;0;Highly Urban/ Urban;02/04/2022 11:25;dev_premium;60;oui;oui;[40k€+]; [900+€]
ID_45;M;Private;z_SUV;no;0;13.0;Highly Urban/ Urban;02/01/2022 20:05;dev_integral;54;non;non;[40k€+]; [900+€]
ID_46;F;Private;z_SUV;no;4;15.0;Highly Urban/ Urban;24/02/2022 21:52;dev_express;68;non;non;[40k€+]; [200-300€]
ID_47;M;Private;z_SUV;no;1;1.0;Highly Urban/ Urban;05/04/2022 02:47;dev_express;79;oui;non;[0, 20k€]; [200-300€]
ID_48;F;Commercial;Panel Truck;yes;1;13.0;Highly Urban/ Urban;21/02/2022 11:50;dev_integral;44;non;non;[40k€+]; [900+€]
ID_49;M;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;21/03/2022 00:37;dev_integral;79;non;non;[40k€+]; [200-300€]
ID_50;F;Private;Van;yes;1;1.0;z_Highly Rural/ Rural;03/04/2022 12:30;dev_integral;41;oui;oui;[40k€+]; [200-300€]
ID_51;F;Commercial;Pickup;yes;7;1.0;Highly Urban/ Urban;28/03/2022 23:57;dev_integral;27;non;non;[20k€, 40k€]; [900+€]
ID_52;F;Private;Minivan;no;1;5.0;Highly Urban/ Urban;21/03/2022 07:59;dev_express;51;oui;non;[40k€+]; [200-300€]
ID_53;M;Private;Minivan;no;0;7.0;Highly Urban/ Urban;23/05/2022 09:33;dev_express;21;non;non;[40k€+]; [200-300€]
ID_54;F;Private;Sports Car;no;0;19.0;Highly Urban/ Urban;03/05/2022 20:20;dev_express;49;non;non;[40k€+]; [200-300€]
ID_55;F;Commercial;Minivan;no;5;8.0;z_Highly Rural/ Rural;11/04/2022 14:51;dev_express;8;non;non;[40k€+]; [200-300€]
ID_56;M;Private;Van;no;0;13.0;Highly Urban/ Urban;05/01/2022 09:29;dev_premium;51;non;non;[40k€+]; [900+€]
ID_57;F;Commercial;Van;yes;4;9.0;Highly Urban/ Urban;14/05/2022 13:46;dev_integral;58;oui;non;[40k€+]; [200-300€]
ID_58;M;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;20/04/2022 10:04;dev_express;35;non;non;[40k€+]; [200-300€]
ID_59;F;Private;Van;yes;0;1.0;Highly Urban/ Urban;22/01/2022 11:01;dev_express;75;oui;oui;[20k€, 40k€]; [200-300€]
ID_60;F;Private;Sports Car;no;1;7.0;Highly Urban/ Urban;26/04/2022 16:17;dev_express;33;oui;oui;[20k€, 40k€]; [200-300€]
ID_61;F;Private;Minivan;no;0;16.0;Highly Urban/ Urban;23/03/2022 15:45;dev_integral;74;non;non;[40k€+]; [200-300€]
ID_62;F;Private;Pickup;no;0;8.0;Highly Urban/ Urban;27/04/2022 03:37;dev_express;56;non;non;[40k€+]; [200-300€]
ID_63;F;Commercial;Van;no;0;5.0;Highly Urban/ Urban;24/05/2022 02:44;dev_integral;72;oui;non;[40k€+]; [200-300€]
ID_64;F;Private;Sports Car;no;0;1.0;Highly Urban/ Urban;09/05/2022 23:43;dev_express;82;oui;non;[20k€, 40k€]; [200-300€]
ID_65;F;Private;z_SUV;no;0;6.0;Highly Urban/ Urban;22/04/2022 08:38;dev_integral;6;non;non;[0, 20k€]; [200-300€]
ID_66;M;Private;z_SUV;no;5;1.0;Highly Urban/ Urban;17/05/2022 07:36;dev_express;52;non;non;[40k€+]; [200-300€]
ID_67;M;Private;Pickup;no;0;7.0;Highly Urban/ Urban;01/05/2022 22:37;dev_express;71;non;non;[40k€+]; [200-300€]
ID_68;M;Private;Minivan;no;3;5.0;z_Highly Rural/ Rural;29/05/2022 10:50;dev_express;53;non;non;[0, 20k€]; [200-300€]
ID_69;M;Private;z_SUV;yes;2;13.0;Highly Urban/ Urban;04/04/2022 09:48;dev_express;74;oui;non;[20k€, 40k€]; [200-300€]
ID_70;F;Commercial;Pickup;no;1;3.0;Highly Urban/ Urban;27/01/2022 21:31;dev_integral;26;non;non;[40k€+]; [900+€]
ID_71;F;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;13/01/2022 03:29;dev_integral;5;non;non;[40k€+]; [900+€]
ID_72;M;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;08/01/2022 11:18;dev_express;36;non;non;[40k€+]; [200-300€]
ID_73;M;Private;Minivan;yes;2;9.0;Highly Urban/ Urban;05/04/2022 09:02;dev_integral;11;non;non;[40k€+]; [200-300€]
ID_74;F;Private;Minivan;no;2;9.0;z_Highly Rural/ Rural;14/02/2022 02:00;dev_premium;82;oui;non;[40k€+]; [900+€]
ID_75;M;Private;Pickup;no;0;8.0;Highly Urban/ Urban;14/01/2022 13:12;dev_express;81;non;non;[40k€+]; [200-300€]
ID_76;F;Private;z_SUV;no;1;18.0;Highly Urban/ Urban;20/04/2022 02:38;dev_integral;31;non;non;[40k€+]; [900+€]
ID_77;F;Commercial;Minivan;no;5;1.0;Highly Urban/ Urban;10/05/2022 13:40;dev_express;74;non;non;[40k€+]; [200-300€]
ID_78;M;Commercial;Panel Truck;no;4;11.0;Highly Urban/ Urban;24/01/2022 17:35;dev_premium;53;non;non;[40k€+]; [900+€]
ID_79;F;Private;Minivan;no;4;6.0;Highly Urban/ Urban;01/02/2022 04:48;dev_express;54;non;non;[40k€+]; [200-300€]
ID_80;M;Private;Minivan;yes;1;1.0;Highly Urban/ Urban;20/04/2022 07:29;dev_premium;62;non;non;[40k€+]; [900+€]
ID_81;M;Private;Sports Car;no;0;3.0;z_Highly Rural/ Rural;02/01/2022 10:07;dev_express;85;non;non;[0, 20k€]; [200-300€]
ID_82;M;Commercial;Van;yes;0;8.0;z_Highly Rural/ Rural;18/02/2022 08:51;dev_express;65;non;non;[40k€+]; [200-300€]
ID_83;F;Commercial;z_SUV;no;0;4.0;Highly Urban/ Urban;27/04/2022 19:14;dev_express;66;oui;non;[20k€, 40k€]; [200-300€]
ID_84;M;Private;Sports Car;no;1;0;z_Highly Rural/ Rural;09/05/2022 03:37;dev_express;65;non;non;[0, 20k€]; [200-300€]
ID_85;M;Commercial;Pickup;yes;2;8.0;Highly Urban/ Urban;14/01/2022 21:13;dev_express;63;non;non;[40k€+]; [200-300€]
ID_86;M;Private;Minivan;yes;0;9.0;Highly Urban/ Urban;30/03/2022 13:20;dev_express;43;non;non;[40k€+]; [200-300€]
ID_87;M;Private;Minivan;no;0;17.0;Highly Urban/ Urban;25/01/2022 00:58;dev_premium;55;non;non;[0, 20k€]; [900+€]
ID_88;F;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;28/05/2022 07:13;dev_express;24;oui;oui;[20k€, 40k€]; [200-300€]
ID_89;M;Private;Minivan;no;0;13.0;Highly Urban/ Urban;12/02/2022 08:10;dev_premium;51;non;non;[40k€+]; [500-800€]
ID_90;M;Private;Sports Car;no;0;2.0;z_Highly Rural/ Rural;11/01/2022 16:57;dev_integral;59;oui;non;[40k€+]; [200-300€]
ID_91;M;Commercial;Minivan;no;3;1.0;Highly Urban/ Urban;15/04/2022 05:20;dev_express;82;non;non;[40k€+]; [200-300€]
ID_92;F;Private;Minivan;no;1;1.0;Highly Urban/ Urban;28/03/2022 10:41;dev_premium;12;oui;non;[20k€, 40k€]; [900+€]
ID_93;F;Private;Sports Car;no;6;1.0;Highly Urban/ Urban;26/02/2022 21:26;dev_premium;7;non;non;[40k€+]; [900+€]
ID_94;M;Private;Van;yes;0;1.0;Highly Urban/ Urban;17/01/2022 08:39;dev_express;63;non;non;[40k€+]; [200-300€]
ID_95;F;Private;Pickup;no;4;11.0;Highly Urban/ Urban;16/04/2022 00:13;dev_integral;71;non;non;[40k€+]; [200-300€]
ID_96;F;Commercial;Pickup;yes;1;5.0;z_Highly Rural/ Rural;12/01/2022 03:39;dev_integral;53;non;non;[20k€, 40k€]; [200-300€]
ID_97;M;Private;Minivan;no;7;1.0;Highly Urban/ Urban;23/03/2022 01:48;dev_express;63;non;non;[20k€, 40k€]; [200-300€]
ID_98;F;Private;Minivan;yes;0;6.0;Highly Urban/ Urban;17/04/2022 15:27;dev_integral;38;oui;oui;[40k€+]; [200-300€]
ID_99;M;Private;Van;yes;1;8.0;Highly Urban/ Urban;05/05/2022 04:13;dev_integral;44;oui;non;[40k€+]; [900+€]
ID_100;M;Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;28/02/2022 07:30;dev_integral;20;non;non;[40k€+]; [900+€]
ID_101;M;Commercial;Pickup;no;2;12.0;Highly Urban/ Urban;12/02/2022 17:39;dev_integral;68;oui;non;[0, 20k€]; [900+€]
ID_102;F;Private;Minivan;no;0;1.0;Highly Urban/ Urban;07/01/2022 19:37;dev_integral;25;oui;non;[40k€+]; [900+€]
ID_103;M;Private;Minivan;no;6;11.0;Highly Urban/ Urban;07/01/2022 13:02;dev_integral;54;non;non;[40k€+]; [900+€]
ID_104;M;Commercial;Panel Truck;yes;4;17.0;Highly Urban/ Urban;12/01/2022 00:08;dev_express;12;non;non;[40k€+]; [200-300€]
ID_105;M;Private;Minivan;yes;1;12.0;Highly Urban/ Urban;24/05/2022 14:39;dev_premium;63;non;non;[40k€+]; [900+€]
ID_106;M;Commercial;Panel Truck;yes;0;14.0;Highly Urban/ Urban;25/03/2022 12:49;dev_integral;26;oui;non;[0, 20k€]; [200-300€]
ID_107;F;Private;Minivan;no;0;5.0;Highly Urban/ Urban;02/01/2022 00:52;dev_integral;73;oui;oui;[0, 20k€]; [900+€]
ID_108;M;Commercial;Minivan;yes;1;12.0;z_Highly Rural/ Rural;01/03/2022 04:35;dev_integral;42;oui;non;[40k€+]; [900+€]
ID_109;F;Private;Minivan;yes;5;11.0;Highly Urban/ Urban;28/01/2022 11:20;dev_express;59;oui;non;[40k€+]; [200-300€]
ID_110;M;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;29/04/2022 08:01;dev_premium;93;non;non;[0, 20k€]; [900+€]
ID_111;M;Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;20/01/2022 00:10;dev_integral;55;non;non;[40k€+]; [200-300€]
ID_112;M;Commercial;Minivan;no;0;12.0;Highly Urban/ Urban;06/05/2022 14:07;dev_express;57;oui;oui;[40k€+]; [200-300€]
ID_113;M;Private;z_SUV;no;0;8.0;Highly Urban/ Urban;14/03/2022 17:19;dev_express;70;oui;non;[0, 20k€]; [200-300€]
ID_114;F;Commercial;Minivan;no;2;6.0;Highly Urban/ Urban;20/03/2022 10:44;dev_express;66;oui;non;[40k€+]; [200-300€]
ID_115;F;Private;z_SUV;no;0;14.0;Highly Urban/ Urban;18/01/2022 01:43;dev_premium;58;non;non;[40k€+]; [900+€]
ID_116;F;Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;23/01/2022 11:52;dev_premium;53;oui;oui;[20k€, 40k€]; [900+€]
ID_117;F;Private;Sports Car;no;0;11.0;z_Highly Rural/ Rural;07/01/2022 23:42;dev_express;80;oui;oui;[40k€+]; [200-300€]
ID_118;F;Private;Pickup;no;0;7.0;Highly Urban/ Urban;02/01/2022 23:14;dev_integral;63;oui;oui;[0, 20k€]; [900+€]
ID_119;M;Commercial;Sports Car;no;2;1.0;Highly Urban/ Urban;23/05/2022 03:25;dev_integral;10;oui;oui;[40k€+]; [900+€]
ID_120;M;Private;Minivan;no;0;15.0;Highly Urban/ Urban;29/05/2022 09:22;dev_integral;5;non;non;[40k€+]; [900+€]
ID_121;M;Private;z_SUV;no;0;13.0;z_Highly Rural/ Rural;09/02/2022 09:54;dev_integral;72;non;non;[0, 20k€]; [900+€]
ID_122;M;Private;Minivan;yes;2;11.0;Highly Urban/ Urban;17/02/2022 21:50;dev_express;59;oui;non;[40k€+]; [200-300€]
ID_123;M;Private;z_SUV;no;0;12.0;Highly Urban/ Urban;06/05/2022 08:05;dev_integral;72;non;non;[40k€+]; [900+€]
ID_124;F;Private;Pickup;yes;0;11.0;Highly Urban/ Urban;25/01/2022 10:57;dev_integral;50;non;non;[40k€+]; [900+€]
ID_125;F;Private;Van;no;4;9.0;Highly Urban/ Urban;01/01/2022 10:42;dev_integral;31;oui;non;[20k€, 40k€]; [900+€]
ID_126;M;Private;Minivan;no;0;8.0;Highly Urban/ Urban;02/04/2022 23:05;dev_integral;35;non;non;[40k€+]; [200-300€]
ID_127;M;Private;Minivan;no;2;1.0;Highly Urban/ Urban;14/04/2022 03:03;dev_integral;70;non;non;[40k€+]; [200-300€]
ID_128;M;Commercial;Minivan;yes;7;1.0;z_Highly Rural/ Rural;07/03/2022 01:04;dev_express;18;non;non;[0, 20k€]; [200-300€]
ID_129;M;Commercial;Sports Car;no;1;0;Highly Urban/ Urban;04/04/2022 21:37;dev_premium;23;non;non;[40k€+]; [500-800€]
ID_130;M;Private;Minivan;no;1;13.0;Highly Urban/ Urban;20/04/2022 04:58;dev_express;61;non;non;[40k€+]; [200-300€]
ID_131;F;Private;Sports Car;no;0;13.0;Highly Urban/ Urban;25/02/2022 11:43;dev_express;71;oui;non;[0, 20k€]; [200-300€]
ID_132;F;Private;Minivan;no;8;9.0;Highly Urban/ Urban;28/05/2022 00:32;dev_vip;73;oui;non;[20k€, 40k€]; [500-800€]
ID_133;M;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;18/03/2022 05:26;dev_express;10;oui;non;[0, 20k€]; [200-300€]
ID_134;M;Private;Minivan;yes;3;5.0;Highly Urban/ Urban;25/02/2022 19:06;dev_express;57;non;non;[20k€, 40k€]; [200-300€]
ID_135;F;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/04/2022 14:50;dev_integral;6;oui;oui;[40k€+]; [200-300€]
ID_136;F;Private;Minivan;no;0;16.0;Highly Urban/ Urban;01/05/2022 13:47;dev_integral;93;oui;non;[40k€+]; [900+€]
ID_137;M;Commercial;Van;yes;2;15.0;Highly Urban/ Urban;27/03/2022 09:47;dev_integral;14;non;non;[40k€+]; [900+€]
ID_138;M;Commercial;Van;no;4;9.0;Highly Urban/ Urban;11/05/2022 02:14;dev_express;38;oui;oui;[40k€+]; [200-300€]
ID_139;M;Commercial;z_SUV;no;4;1.0;Highly Urban/ Urban;31/05/2022 03:31;dev_express;53;oui;non;[40k€+]; [200-300€]
ID_140;F;Private;Sports Car;no;6;7.0;Highly Urban/ Urban;24/04/2022 23:44;dev_premium;48;oui;non;[0, 20k€]; [500-800€]
ID_141;M;Commercial;Sports Car;no;2;9.0;Highly Urban/ Urban;06/03/2022 04:31;dev_integral;53;non;non;[40k€+]; [900+€]
ID_142;F;Private;Minivan;no;0;9.0;Highly Urban/ Urban;18/02/2022 17:27;dev_integral;53;non;non;[40k€+]; [200-300€]
ID_143;F;Private;Pickup;yes;0;12.0;Highly Urban/ Urban;05/01/2022 05:06;dev_integral;8;oui;non;[40k€+]; [900+€]
ID_144;M;Private;z_SUV;no;5;15.0;Highly Urban/ Urban;19/02/2022 05:07;dev_premium;84;non;non;[40k€+]; [500-800€]
ID_145;M;Commercial;z_SUV;no;7;0;Highly Urban/ Urban;21/05/2022 17:06;dev_express;89;oui;non;[0, 20k€]; [200-300€]
ID_146;M;Private;z_SUV;no;2;11.0;Highly Urban/ Urban;13/05/2022 05:41;dev_express;53;non;non;[20k€, 40k€]; [200-300€]
ID_147;M;Private;z_SUV;no;0;7.0;Highly Urban/ Urban;20/02/2022 18:23;dev_integral;63;non;non;[40k€+]; [900+€]
ID_148;M;Private;z_SUV;no;1;10.0;z_Highly Rural/ Rural;16/04/2022 08:28;dev_integral;43;oui;oui;[20k€, 40k€]; [200-300€]
ID_149;F;Private;z_SUV;no;0;19.0;Highly Urban/ Urban;03/03/2022 11:37;dev_integral;74;non;non;[40k€+]; [200-300€]
ID_150;F;Private;Minivan;no;0;15.0;z_Highly Rural/ Rural;26/02/2022 20:58;dev_express;77;non;non;[40k€+]; [200-300€]
ID_151;M;Private;Minivan;no;0;10.0;Highly Urban/ Urban;19/02/2022 07:35;dev_integral;79;non;non;[40k€+]; [900+€]
ID_152;F;Private;z_SUV;no;2;5.0;Highly Urban/ Urban;05/03/2022 12:14;dev_express;65;non;non;[40k€+]; [200-300€]
ID_153;F;Private;Minivan;yes;3;1.0;Highly Urban/ Urban;11/01/2022 23:53;dev_express;62;oui;non;[0, 20k€]; [200-300€]
ID_154;M;Private;Minivan;no;1;4.0;Highly Urban/ Urban;25/03/2022 21:08;dev_express;33;non;non;[20k€, 40k€]; [200-300€]
ID_155;F;Commercial;Pickup;yes;0;9.0;z_Highly Rural/ Rural;22/02/2022 18:20;dev_integral;77;oui;non;[20k€, 40k€]; [200-300€]
ID_156;M;Commercial;Van;yes;0;12.0;Highly Urban/ Urban;14/01/2022 04:38;dev_integral;83;oui;oui;[40k€+]; [900+€]
ID_157;F;Private;Sports Car;no;5;4.0;Highly Urban/ Urban;08/04/2022 21:31;dev_express;70;oui;non;[0, 20k€]; [200-300€]
ID_158;M;Private;Pickup;no;0;15.0;Highly Urban/ Urban;17/04/2022 13:11;dev_integral;74;non;non;[40k€+]; [900+€]
ID_159;M;Commercial;Minivan;yes;0;9.0;z_Highly Rural/ Rural;14/05/2022 20:36;dev_integral;85;non;non;[40k€+]; [900+€]
ID_160;M;Commercial;z_SUV;no;6;1.0;Highly Urban/ Urban;02/02/2022 00:42;dev_integral;66;non;non;[40k€+]; [200-300€]
ID_161;M;Private;Sports Car;no;0;8.0;Highly Urban/ Urban;21/05/2022 22:35;dev_integral;70;oui;oui;[40k€+]; [200-300€]
ID_162;M;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;09/03/2022 16:06;dev_premium;34;non;non;[40k€+]; [900+€]
ID_163;F;Private;Minivan;no;1;12.0;z_Highly Rural/ Rural;27/02/2022 09:10;dev_integral;50;oui;oui;[40k€+]; [900+€]
ID_164;F;Private;Minivan;no;0;14.0;Highly Urban/ Urban;03/04/2022 03:15;dev_integral;73;oui;non;[40k€+]; [900+€]
ID_165;F;Private;Sports Car;no;1;8.0;z_Highly Rural/ Rural;02/04/2022 11:55;dev_express;56;non;non;[0, 20k€]; [200-300€]
ID_166;F;Private;Minivan;no;1;1.0;Highly Urban/ Urban;08/04/2022 07:47;dev_express;52;oui;oui;[0, 20k€]; [200-300€]
ID_167;F;Private;Sports Car;no;0;17.0;Highly Urban/ Urban;31/05/2022 15:46;dev_integral;93;oui;non;[40k€+]; [200-300€]
ID_168;F;Commercial;Pickup;yes;0;4.0;Highly Urban/ Urban;16/05/2022 17:40;dev_integral;25;oui;non;[40k€+]; [200-300€]
ID_169;F;Commercial;Panel Truck;no;1;0;Highly Urban/ Urban;22/04/2022 13:14;dev_integral;57;non;non;[40k€+]; [200-300€]
ID_170;F;Commercial;z_SUV;no;2;11.0;Highly Urban/ Urban;30/05/2022 08:43;dev_integral;74;non;non;[20k€, 40k€]; [900+€]
ID_171;M;Private;Pickup;yes;1;11.0;Highly Urban/ Urban;01/02/2022 00:03;dev_express;40;oui;non;[40k€+]; [200-300€]
ID_172;F;Commercial;Minivan;no;2;1.0;Highly Urban/ Urban;31/05/2022 16:23;dev_integral;30;non;non;[0, 20k€]; [900+€]
ID_173;M;Commercial;Minivan;no;0;11.0;z_Highly Rural/ Rural;16/02/2022 07:07;dev_integral;58;non;non;[40k€+]; [900+€]
ID_174;F;Private;Minivan;yes;0;20.0;Highly Urban/ Urban;21/05/2022 22:01;dev_integral;52;oui;non;[40k€+]; [900+€]
ID_175;M;Private;z_SUV;no;2;1.0;Highly Urban/ Urban;26/04/2022 15:07;dev_express;55;non;non;[0, 20k€]; [200-300€]
ID_176;M;Commercial;Pickup;no;6;0;Highly Urban/ Urban;14/01/2022 19:18;dev_integral;77;non;non;[40k€+]; [200-300€]
ID_177;F;Commercial;Van;no;0;12.0;Highly Urban/ Urban;16/02/2022 23:39;dev_express;60;non;non;[0, 20k€]; [200-300€]
ID_178;M;Private;Sports Car;no;0;16.0;Highly Urban/ Urban;01/01/2022 22:26;dev_express;32;non;non;[0, 20k€]; [200-300€]
ID_179;M;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;14/01/2022 11:21;dev_integral;65;oui;non;[0, 20k€]; [200-300€]
ID_180;F;Commercial;Van;yes;0;6.0;Highly Urban/ Urban;10/05/2022 08:25;dev_premium;57;oui;non;[40k€+]; [500-800€]
ID_181;F;Commercial;Pickup;no;1;0;Highly Urban/ Urban;02/05/2022 22:21;dev_express;83;non;non;[40k€+]; [200-300€]
ID_182;F;Commercial;Van;no;1;6.0;z_Highly Rural/ Rural;10/02/2022 04:16;dev_express;26;oui;oui;[20k€, 40k€]; [200-300€]
ID_183;M;Commercial;Panel Truck;yes;0;13.0;z_Highly Rural/ Rural;08/01/2022 11:44;dev_integral;55;non;non;[40k€+]; [900+€]
ID_184;F;Private;Van;yes;0;10.0;Highly Urban/ Urban;12/01/2022 23:08;dev_premium;87;non;non;[40k€+]; [900+€]
ID_185;F;Private;Pickup;yes;1;1.0;Highly Urban/ Urban;27/05/2022 23:47;dev_express;69;non;non;[0, 20k€]; [200-300€]
ID_186;M;Commercial;z_SUV;no;6;5.0;Highly Urban/ Urban;10/04/2022 22:38;dev_premium;25;oui;oui;[40k€+]; [900+€]
